word,type
Abacus,object
Mummy,humanoid
Voodoo doll,humanoid
Abraham Lincoln,human
Alien,humanoid
Accordion,object
Acid,object
Acid Rain,other
Acorn,object
Acoustic Guitar,object
Acrobat,human
Action Figure,humanoid
Actor,human
Actress,human
Adam's Apple,object
Adder,animal
Address Book,object
Admiral,human
Afro,other
Agent Diana Prince,human
Air Compressor,object
Air Conditioning,object
Air Filter,object
Air Horn,object
Air Mattress,object
Air Tank,object
Air Vent,object
Airbag,object
Aircraft Carrier,object
Airlock,object
Airplane,object
Airport,object
Aisle,object
Akita,animal
Alarm Clock,object
Albatross,animal
Alexander the Great,human
Alligator,animal
Almond,object
Alphabet,object
Altar Boy,human
Amazon (Person),human
Ambassador,human
Amber,object
Ambulance,object
American Cheese,object
Ammonia,object
Amoeba,other
Amp,object
Ampersand,other
Amphitheater,object
Amulet,object
Amusement Park,object
Anaconda,animal
Anarchist,human
Anchor (Boat),object
Anchorman,human
Android,humanoid
Anesthesiologist,human
Angel,humanoid
Angel Food Cake,object
Angel Wings,object
Angelfish,animal
Angler,human
Anglerfish,animal
Angry Eyes,other
Animal,other
Animal Food,object
Animal Shelter,object
Ankle,object
Ankylosaurus,animal
Ann,human
Answering Machine,object
Ant,animal
Ant Farm,object
Ant Hill,object
Anteater,animal
Antelope,animal
Antenna (Metal),object
Antidote,object
Antifreeze,object
Antique Shop,object
Antler,object
Antlers,object
Anvil,object
Apartment,object
Apparatus,object
Apple,object
Apple Core,object
Apple Pie,object
Apple Sauce,object
Apple Tree,object
Apricot Tree,object
Apron,object
Aquaman,human
Aquarium (Building),object
Aquarius (Stars),other
Aqueduct,object
Arcade Machine,object
Arch,object
Archaeologist,human
Archer,human
Architect,human
Arctic Fox,animal
Aries (Stars),other
Ark of the Covenant,object
Arm,object
Armadillo,animal
Armchair,object
Armor,object
Armory,object
Arms,object
Army Men,object
Army Uniform,object
Arrow,object
Arrowhead,object
Arsonist,human
Art,other
Art Museum,object
Art Supply Store,object
Artichoke,object
Artifact,object
Artist,human
Ash,object
Asparagus,object
Aspen Tree,object
Asphalt,object
Assassin,human
Assault Rifle,object
Asterisk,object
Asteroid,object
Asteroid Belt,object
Astronaut,human
Astronomer,human
Asylum,object
At Sign,object
Atheist,human
Athlete,human
ATM,object
Atom,object
Attic,object
ATV,object
Auction House,object
Aurora Borealis,other
Automatic Door,object
Avocado,object
Avocado Tree,object
Awning,object
Axe,object
Baboon,animal
Baby,human
Baby Bottle,object
Baby Monitor,object
Baby Powder,object
Babysitter,human
Back Scratcher,object
Backgammon,other
Backhoe,object
Backpack,object
Helicopter,object
Bacon,object
Badge,object
Badger,animal
Badger Cub,animal
Bag,object
Bagel,object
Bagpipes,object
Baguette,object
Bait,object
Baked Beans,object
Baker,human
Bakery,object
Baking Powder,object
Baking Sheet,object
Balcony,object
Ball Bearing,object
Ball Gown,object
Ball Pit,object
Ballet Shoes,object
Balloon (Fun),object
Ballroom,object
Balls,object
Bamboo,object
Banana,object
Banana Bread,object
Banana Chips,object
Banana Peel,object
Banana Suit,object
Banana Tree,object
Band Saw,object
Bandage,object
Bandana,object
Bandit Mask,object
Banjo,object
Bank,object
Banker,human
Banner,object
Bar Stool,object
Barbarian,human
Barbed Wire,object
Barber,human
Barber's Pole,object
Barcode,object
Barista,human
Bark,object
Barn,object
Barracks,object
Barracuda,animal
Barrel,object
Barrette,object
Barrier,object
Baseball,object
Baseball Base,object
Baseball Glove,object
Baseball player,human
Baseboard,object
Basement,object
Basket,object
Basketball,object
Basketball Court,object
Basketball Goal,object
Basketball Jersey,object
Basketball Player,human
Bass (Fish),animal
Basset Hound,animal
Bat (Animal),animal
Bat (Sports),object
Bat-signal,object
Bath Mat,object
Bathroom,object
Bathtub,object
Batman,human
Batman Costume,object
Batmobile (Regular),object
Baton (Performance),object
Batter (Food),object
Battering Ram,object
Battery,object
Battle Axe,object
Battleship,object
Bay,other
Bayonet,object
BB Gun,object
BBQ Sauce,object
BBQ Wing,object
Beach Ball,object
Beach Umbrella,object
Beacon,object
Beagle,animal
Beak,object
Beaker,object
Bean,object
Bean Bag (Chair),object
Beanie,object
Bear,animal
Bear Rug,object
Bear Suit,object
Bear Trap,object
Beard,object
Beautician,human
Beauty,other
Beaver,animal
Beaver Dam,object
Beaver Pup,animal
Bed,object
Bed Bug,animal
Bedroom,object
Bedspread,object
Bee,animal
Beef,object
Beehive,object
Beet,object
Beethoven,human
Beetle,animal
Beggar,human
Behemoth,other
Bell (Handbell),object
Bell Tower,object
Bellhop,human
Belt,object
Beluga Whale,animal
Bench,object
Bench Press,other
Benjamin Franklin,human
Beret,object
Berry,object
Bib,object
Bicycle,object
Bicycle Horn,object
Big Dipper,other
Big Toe,object
Bigfoot,humanoid
Bike Helmet,object
Bike Rack,object
Biker,human
Bikini,object
Bill (Paper),object
Billboard,object
Binder,object
Binoculars,object
Biohazard Sign,object
Biologist,human
Biplane,object
Birch Tree,object
Bird,animal
Bird Cage,object
Birdbath,object
Birdhouse,object
Birdwatcher,human
Birthday Cake,object
Birthday Candle,object
Birthday Suit,other
Biscuit,object
Black and White Photo,object
Black Bear,animal
Black Belt,object
Black Hole,other
Black Knight,humanoid
Black Mamba,animal
Black Widow,animal
Blackbird,animal
Blacksmith,human
Bladder,object
Blank,other
Blanket,object
Bleach,object
Bleachers,object
Blender,object
Blimp,object
Blindfold,object
Bling,object
Blizzard,other
Block,object
Blood Bank,object
Blood Pressure Cuff,object
Bloodhound,animal
Blouse,object
Blowdryer,object
Blowfish,animal
BLT,object
Blue Cheese,object
Blue Jay,animal
Blue Screen of Death,other
Blue Suit,object
Blue whale,animal
Blueprints,object
Blush,object
Boa,animal
Boar,animal
Board Game,object
Boat,object
Boat House,object
Bobblehead,object
Bobby Pin,object
Bobcat,animal
Body Bag,object
Body Shop,object
Body Wash,object
Bodybuilder,human
Bogeyman,humanoid
Boiler,object
Bok Choi,object
Bolt (Metal),object
Bomb,object
Bomb Disposal Expert,human
Bomb Shelter,object
Bomber (Plane),object
Bone,object
Bongo (Music),object
Bonnet,object
Bonsai,object
Boo,other
Book,object
Book Holder,object
Book Store,object
Bookcase,object
Bookie,human
Boomerang,object
Booster Seat,object
Boot,object
Boot Camp,other
Border Collie,animal
Boss,human
Boston Cream Pie,object
Boston Terrier,animal
Botanist,human
Bottle,object
Bottle Opener,object
Bottled Water,object
Boulder,object
Bouncer,human
Bouncy Ball,object
Bouncy House,object
Bounty Hunter,human
Bouquet,object
Boutique,other
Bow (Gift),object
Bow (Music),object
Bow (Weapon),object
Bow Tie,object
Bowl,object
